term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
event_t_complaint::-2,-0.0827346309088171,2.07541639360422,-0.0398641116856258,0.968201574313142,-2,full,complaint,event_study,-4.15055076237308,3.98508150055544,Any Complaint,Full Sample
event_t_complaint::0,0.0902539373200852,2.07540896901029,0.043487302342692,0.965313207583463,0,full,complaint,event_study,-3.97754764194008,4.15805551658025,Any Complaint,Full Sample
event_t_complaint::1,0.148153151909355,4.15079738889554,0.0356926966143188,0.971527493685187,1,full,complaint,event_study,-7.98740973032591,8.28371603414462,Any Complaint,Full Sample
event_t_complaint::2,0.209370221593417,6.22619650666072,0.0336273070355931,0.973174440528089,2,full,complaint,event_study,-11.9939749314616,12.4127153746484,Any Complaint,Full Sample
event_t_complaint::3,0.274710967671126,8.30161622761198,0.0330912632117841,0.973601902201124,3,full,complaint,event_study,-15.9964568384484,16.5458787737906,Any Complaint,Full Sample
event_t_complaint::4,0.344865479390137,10.3770226938016,0.0332335670419351,0.973488422986157,4,full,complaint,event_study,-19.994099000461,20.6838299592412,Any Complaint,Full Sample
event_t_complaint::5,0.413276125444099,12.4524353548209,0.0331883775075454,0.973524459012889,5,full,complaint,event_study,-23.9934971700048,24.820049420893,Any Complaint,Full Sample
event_t_complaint::6,0.484153270488605,14.5278525469541,0.0333258662230925,0.973414819922928,6,full,complaint,event_study,-27.9904377215414,28.9587442625186,Any Complaint,Full Sample
event_t_complaint::7,0.5549444060307,16.6032604445326,0.0334238210551856,0.973336707064809,7,full,complaint,event_study,-31.9874460652533,33.0973348773147,Any Complaint,Full Sample
event_t_complaint::8,0.625530818942934,18.6786770790407,0.0334890322422695,0.973284705359431,8,full,complaint,event_study,-35.9846762559768,37.2357378938627,Any Complaint,Full Sample
event_t_complaint::9,0.695878352969885,20.7541005126446,0.0335296801972177,0.973252291300953,9,full,complaint,event_study,-39.9821586518136,41.3739153577533,Any Complaint,Full Sample
event_t_complaint::10,0.76714567351155,22.8295023649548,0.033603258680276,0.973193617434412,10,full,complaint,event_study,-43.9786789617999,45.512970308823,Any Complaint,Full Sample
event_t_complaint::11,0.838524631224573,24.9049132918442,0.0336690443929058,0.973141157898348,11,full,complaint,event_study,-47.97510542079,49.6521546832392,Any Complaint,Full Sample
event_t_complaint::12,0.910295207053423,26.9803112159458,0.0337392404323129,0.973085181561186,12,full,complaint,event_study,-51.9711147762003,53.7917051903072,Any Complaint,Full Sample
event_t_complaint::-12,0.967930138111115,315.102311278045,0.00307179637681875,0.99754907440073,-12,pre,complaint,event_study,-616.632599966858,618.56846024308,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-11,0.877040028572083,286.456651551834,0.00306168498382166,0.997557142056049,-11,pre,complaint,event_study,-560.577997013022,562.332077070166,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-10,0.788276582956314,257.810974441794,0.00305757574774724,0.997560420724082,-10,pre,complaint,event_study,-504.52123332296,506.097786488873,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-9,0.698431551456451,229.165317983902,0.00304771925176529,0.997568285003087,-9,pre,complaint,event_study,-448.465591696991,449.862454799904,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-8,0.608307465910912,200.519660336228,0.00303365497872335,0.997579506574266,-8,pre,complaint,event_study,-392.410226793095,393.626841724917,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-7,0.518598094582558,171.873991735119,0.00301731570522775,0.997592543318394,-7,pre,complaint,event_study,-336.35442570625,337.391621895415,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-6,0.430205628275871,143.228326899424,0.0030036350880365,0.997603458780085,-6,pre,complaint,event_study,-280.297315094595,281.157726351147,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-5,0.341242022812367,114.58265994128,0.002978129701189,0.997623808964988,-5,pre,complaint,event_study,-224.240771462097,224.923255507722,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-4,0.252064548432827,85.9370014901897,0.0029331317600324,0.997659711832261,-4,pre,complaint,event_study,-168.184458372339,168.688587469205,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-3,0.164317429065704,57.291331665473,0.00286810280524045,0.997711597012975,-3,pre,complaint,event_study,-112.126692635261,112.455327493393,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::-2,0.0770466830581427,28.6456697554876,0.00268964502194552,0.997853984624097,-2,pre,complaint,event_study,-56.0684660376976,56.2225594038139,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::0,-0.0683485399931669,28.6456639226493,-0.00238599950686169,0.998096256977364,0,pre,complaint,event_study,-56.2138498283858,56.0771527483994,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::1,-0.172901030629873,57.2913357000237,-0.00301792633244195,0.997592056112464,1,pre,complaint,event_study,-112.463919002676,112.118116941417,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::2,-0.273575462400913,85.9369936617026,-0.00318344231912352,0.997459994606269,2,pre,complaint,event_study,-168.710083039338,168.162932114536,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::3,-0.369558244943619,114.582665577764,-0.00322525438800173,0.997426633701952,3,pre,complaint,event_study,-224.951582777361,224.212466287474,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::4,-0.460176199674606,143.228332979017,-0.0032128852588267,0.997436502749968,4,pre,complaint,event_study,-281.187708838548,280.267356439199,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::5,-0.553098350763321,171.873993646824,-0.00321804561020358,0.997432385422435,5,pre,complaint,event_study,-337.426125898539,336.319929197012,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::6,-0.642836183309555,200.519652561105,-0.00320585127242658,0.997442115008576,6,pre,complaint,event_study,-393.661355203076,392.375682836457,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::7,-0.733084067702293,229.165322359018,-0.00319893106058088,0.997447636489165,7,pre,complaint,event_study,-449.897115891378,448.430947755973,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::8,-0.823123276233673,257.810990093462,-0.00319273928522315,0.997452576766852,8,pre,complaint,event_study,-506.13266385942,504.486417306953,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::9,-0.91360604763031,286.456649569347,-0.00318933440366564,0.997455293444972,9,pre,complaint,event_study,-562.36863920355,560.54142710829,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::10,-1.00311204791069,315.102321120105,-0.00318344861550018,0.997459989582532,10,pre,complaint,event_study,-618.603661443316,616.597437347495,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::11,-1.09246796369553,343.747988844044,-0.00317810721560664,0.99746425136505,11,pre,complaint,event_study,-674.838526098021,672.65359017063,Any Complaint,Pre-COVID (<=2019)
event_t_complaint::12,-1.18155017495155,372.393639571237,-0.00317285272732358,0.997468443802824,12,pre,complaint,event_study,-731.073083734577,728.709983384674,Any Complaint,Pre-COVID (<=2019)
